,index,Emotion,Statement
5,2907,fear,When I was left alone at home one night by my brother.
8,2358,fear,"When I was a child I was afraid of big dogs. One day when I came  _x000D_
home a big dog was laying in front of our door. I was so  _x000D_
frightened that I did not dare to enter the door and I waited  _x000D_
until somebody passed by."
11,3177,fear,When I forgot the lines of the play during an orientation camp.
13,4805,joy,The day I learnt that I had been admitted to the university.
14,5136,joy,"When I was a student at the Institute doing my M.Phil degree, one  _x000D_
of my professors called me before the convocation and told me  _x000D_
""You have got the gold-medal (first rank) in the university and  _x000D_
tomorrow you will be on T.V""."
16,5249,joy,My friend told me he really likes me.
21,2439,fear,When I was caught in an elevator and it got stuck between floors.
24,5019,joy,When I passed successive exams to enter the school of medicine.
25,3190,fear,"I was not prepared for the exam but I wanted to sleep the night  _x000D_
before the exam."
34,2585,fear,"It was not long ago when I and two of friends of mine got quite drunk  _x000D_
and one of them began to rave under the influence of the alcohol.  _x000D_
I felt fear of what could have happened."
39,5327,joy,"Talkiing about the past happy hours with two friends at night in  _x000D_
a camp a few months ago.  We shared our feelings, notions and  _x000D_
every hidden anxiety.  I thought that they cared for me and I  _x000D_
was very happy and satified."
43,5226,joy,"When my boyfriend came form Rumphi to Lilongwe for a visit I was  _x000D_
very happy to see him and couldn't believe it was him with me."
47,2425,fear,"When at school, I threw a duster at another child and hit him in  _x000D_
the head. The blow caused a flesh wound and I was afraid of what  _x000D_
would happen to me when the teacher found out the circumstances."
48,5232,joy,"I was joyful when I received a present (2 books and a pencil)  _x000D_
from the headmaster in standard 6 because I had passed, I became  _x000D_
No 1 and he said I was one of the pupils who had good behaviour."
53,5203,joy,"I passed my MCE Examination. at first I was worried but when I  _x000D_
heard my name I had joy in my heart and I arranged for a trip to  _x000D_
attend a wedding ceremony."
56,4487,joy,"A person whom I had not seen for a long time called me and  _x000D_
invited me for a party."
57,2714,fear,In the morning just before going to the dentist.
59,2726,fear,"When I almost fell down from some rocks because I had been acting  _x000D_
foolishly and playing dangerously."
63,4656,joy,My boyfriend made me a proposal.
68,2307,fear,"My grandfather had lung-cancer and was being nursed at  _x000D_
home.  I felt fear when I was alone with him and he almost choked  _x000D_
on mucus secretions."
70,4800,joy,"This week I was phoned by an old friend with whom I lost contact  _x000D_
a few years ago."
72,4872,joy,When I passed the university entrance exam.
75,2181,fear,Someone attacked me with a knife.
78,2461,fear,"Finding myself alone in a public toilet block with a man known to  _x000D_
have had great psychological disturbances."
81,2399,fear,"When I had to go through lonely streets in the middle of the  _x000D_
night."
84,4342,joy,When I met friends I had not seen for the last 2-4 years.
85,4406,joy,[ Being close to another person.]
87,4829,joy,"When Christmas holiday started, I felt very joyful when I  _x000D_
finished my last exam."
92,4895,joy,"When I received some good news : I obtained an amount of money I  _x000D_
needed to buy something I had been planning to buy."
97,5125,joy,When I was selected at TISS X.
100,4853,joy,When my brother was born.
101,2316,fear,"I was camping with a friend of mine and we spent the night in the  _x000D_
forest.  I could not fall off to sleep and could clearly hear  _x000D_
noises from outside (steps ?) approaching our tent."
104,4508,joy,"During my first week in Graz I met a girl who I had got to know  _x000D_
in the train from Amsterdam to Graz. Although I had considered  _x000D_
her very sympathetic, we had seperated without changing our  _x000D_
adresses."
105,2342,fear,"When I was a child, I was always afraid of my father. Just when  _x000D_
he looked at me, I felt frightened."
106,5102,joy,"A party with no worries (i.e. no tests homework etc.) many  _x000D_
friends were present and good music."
113,2871,fear,"I was afraid when I learnt that my father was seriously ill in  _x000D_
hospital."
121,2979,fear,"A few weeks back my daughter had very high fever and I was scared  _x000D_
that it might lead to brain damage or convulsions."
122,5033,joy,"A few weeks back I received a Christmas card from a friend in  _x000D_
England.  She had not written to me in a very long time but it      _x000D_
showed that she still remembered me."
125,2241,fear,"When I was involved in a car accident last November, after the  _x000D_
first fall of snow.  I lost control of the car and it spun round  _x000D_
and landed on the opposite side of the road, on the hard  _x000D_
shoulder.  It was stopped by a pole on top of a bank sloping down  _x000D_
to a stream."
129,2796,fear,"When I was about six years old, I mistook a cat for a leopard       _x000D_
when it entered my room at night."
130,4707,joy,"I felt glad when I took the rather difficult organic chemistry  _x000D_
examination."
135,5156,joy,Saw on TV China winning the gold medals.
139,2562,fear,A fear of lack of personal powers.
140,2761,fear,"In a dark street at 4 o'clock in the night and there was  _x000D_
complete silence."
144,4618,joy,"I wanted to go out to walk but I didn't know either where or  _x000D_
with whom, suddenly an invitation appeared."
146,2828,fear,"When a drunkard barged into a room where my friend and I had run  _x000D_
in order to get away from him.  We were all alone and all I could  _x000D_
see was this hand coming towards me."
148,2789,fear,"I went to visit a friend in hospital.  He was going to be  _x000D_
operated the next day.  I was afraid that they would not let me  _x000D_
in and I did not know what his reaction would be on seeing me."
152,4277,joy,When I saw a person I had not seen for a long time.
154,4807,joy,"I won the first prize at the science fair, the first of the kind  _x000D_
at school and I was only in form II then.  "
